Manufacturer,Board Name,Part Number,Image File,Image Local,Product Link,AWS Qualified,Greengrass,Tags,Include
ADLINK,MXE-230 Series with Intel,MXE-210,ADLINK_MXE-230.png,,https://www.adlinktech.com/products/industrial_pcs_fanless_embedded_pcs/integratedfanlessembeddedcomputers/mxe-230_series,yes,yes,Greengrass,yes
AMD,Kria KV260 Vision AI Starter Kit,SK-KV260-G,https://www.amd.com/content/dam/amd/en/images/products/som/2362834-kv260-product.jpg,,https://www.amd.com/en/products/system-on-modules/kria/k26/kv260-vision-starter-kit.html,no,yes,Greengrass,yes
Advantech,AI System (Lite) Based on NVIDIA® Jetson Nano,MIC-710AIL,,,,no,no,,yes
Advantech,Edge AI Camera,ICAM-540-30W,https://apn-portal.my.salesforce.com/servlet/servlet.ImageServer?id=015aq000000IvZJAA0&oid=00DE0000000c48tMAA,,https://www.advantech.com/en-us/products/edge-ai-camera/sub_d51faf9f-1457-4702-93f7-f613d7b1460e,no,no,Greengrass,yes
Advantech,UNO-148_V2,UNO-148_V2,AD-UNO-148.png,,https://www.advantech.com/zh-tw/products/gf-bvl2/uno-148-v2/mod_61073522-ec4a-4da8-a3d2-735a95499608,yes,yes,Greengrass,yes
Arduino,Arduino OPTA RS485,AFX00001,https://store-usa.arduino.cc/cdn/shop/files/AFX00001_01.iso_643x483.jpg?v=1744099182,,https://store.arduino.cc/products/opta-rs485,yes,no,AWS Qual,yes
Asus,PE100A,PE100A,Asus_PE100a.png,,https://www.asus.com/networking-iot-servers/aiot-industrial-solutions/embedded-computers-edge-ai-systems/pe1000s/,yes,yes,Greengrass,yes
Dell,Dell Edge Gateway 3200,3200,Dell_3200.png,,https://www.dell.com/en-us/shop/network-hardware-devices/dell-edge-gateway-3200/spd/dell-edge-gateway-3200/dn_edge3200_15514_vp,yes,yes,Greengrass,yes
Dell,Dell Edge Gateway 5200,5200,Dell-5200.png,,https://www.dell.com/en-us/shop/network-hardware-devices/dell-edge-gateway-5200/spd/dell-edge-gateway-5200/dn_edge5200_15513_vi,yes,yes,Greengrass,yes
Infineon,PSOC Edge E84 AI Evaluation Kit,KITPSE84AITOBO1,KITPSE84AITOBO1.png,,https://www.infineon.com/evaluation-board/KIT-PSE84-AI,no,no,AWS_Qual - In_Progress,yes
Infineon,PSOC Edge E84 Evaluation Kit,KIT_PSE84_EVAL,KIT_PSE84_EVAL.png,,https://www.infineon.com/evaluation-board/KIT-PSE84-EVAL,no,no,AWS_Qual - In_Progress,yes
Infineon,PSOC™ 6 Artificial Intelligence Evaluation Kit,CY8CKIT-062S2-AI,CY8CKIT-062S2-AI.png,CY8CKIT-062S2-AI.jpg,https://www.infineon.com/evaluation-board/CY8CKIT-062S2-AI,yes,no,AWS Qual,yes
Infineon,PSOC™ 6 Wi-Fi Bluetooth® pioneer kit,CY8CKIT-062-WIFI-BT,CY8CKIT-062-WIFI-BT.png,CY8CKIT-062-WIFI-BT.jpg,https://www.infineon.com/evaluation-board/CY8CKIT-062-WIFI-BT,no,no,,yes
Infineon,PSOC™ 6 Wi-Fi Bluetooth® prototyping kit,CY8CPROTO-062-4343W,CY8CPROTO-062-4343W.png,PSOC6kit.jpg,https://www.infineon.com/evaluation-board/CY8CPROTO-062-4343W,no,no,,yes
Infineon,PSOC™ 62S3 Wi-Fi Bluetooth® prototyping kit,CY8CPROTO-062S3-4343W,CY8CPROTO-062S3-4343W.png,CY8CPROTO-062S3-4343W.jpg,https://www.infineon.com/evaluation-board/cy8cproto-062s3-4343w,no,no,,yes
Infineon,PSOC™ Control C3M5 Evaluation Kit,KIT_PSC3M5_EVK,KIT_PSC3M5_EVK.png,,https://www.infineon.com/evaluation-board/KIT-PSC3M5-EVK,no,no,,yes
Infineon,XENSIV™ KIT CSK BGT60TR13C,KIT_CSK_BGT60TR13C,https://apn-portal.my.salesforce.com/servlet/servlet.ImageServer?id=0158a000006l3bIAAQ&oid=00DE0000000c48tMAA,,https://www.infineon.com/evaluation-board/KIT-CSK-BGT60TR13C,yes,no,AWS Qual,yes
