Manufacturer,Avnet Americas,Avnet Asia,Newark,Farnell,Element 14,Silica,EBV,Abacus,Entity Count,Source Names
2J Antenna,,,,,,X,,,1,
3a Logics,,,X,,,,,,1,
3M,,X,X,X,X,,,X,5,
3M Interconnect Solutions,X,,,,,,,,1,
4D Systems,,,X,X,X,,,,3,4D SYSTEMS
AAEON Technology,X,,,,,,,,1,
Aavid,,X,,,,,,,1,
AB Connectors,,,,X,X,,,,2,
ABB,,,X,X,X,,,,3,
ABB - Kopex,,,,,X,,,,1,
Abbatron,,,X,,,,,,1,
ABLIC,X,,,,,,,,1,
Abracon,X,X,X,X,X,,,X,6,
Aceinna,X,,,,,,X,,2,ACEINNA
ACI,,,X,,,,,,1,
ACL Staticide,,,X,,,,,,1,
Acme Electric,,,X,,,,,,1,
Actel,,X,,,,,,,1,
ACX Corp,,X,,,,,,,1,
Adafruit Industries,,,X,,,,,,1,
Adam Equipment,,,X,,,,,,1,
Adaptec,,X,,,,,,,1,
Adastra,,,X,,,,,,1,
Adda,,,X,,,,,,1,
Adesto Technologies,,X,X,X,,,,,3,Adesto
ADI Engineering,X,,,,,,,,1,
ADI Trinamic™,,,X,,,,,,1,
ADLINK Technology,X,,,,,,,,1,
Advance Tapes,,,X,,,,,,1,
Advanced Energy,X,,,X,,,,X,3,
Advanced Power Electronics,,X,,,,,,,1,
Advanced Sensor Technology,,,,,,,,X,1,
"Advanced Sensors, an Amphenol co.",X,,,,,,,,1,
Advanced Thermal Solutions,X,,,,,,,,1,
Advantech,X,X,X,X,X,,,X,6,ADVANTECH; Advantech Industrial
AE Power,,,,,,,,X,1,
AEL Crystals,,,,X,X,,,,2,
AEM,X,X,X,,,,,X,4,AEM Electronics
Aemc,,,X,,,,,,1,
Aeris,X,,,,,,,,1,
Aero/Conesys,,,X,,,,,,1,
AF International,,,,X,X,,,,2,
Agilent Technologies,,X,,,,,,,1,
AI-Link Technology,,X,,,,,,,1,
AIC,X,,,,,,,,1,
Aim-Cambridge,,,X,,,,,,1,
Aim-TTI,,,,X,X,,,,2,
Aim/Tti Instruments,,,X,,,,,,1,
Aimco,,,X,,,,,,1,
Aimtec,X,,X,X,X,,,X,5,
AirBorn,,,,,,,,X,1,
"Airborn, a Molex co.",X,,,,,,,,1,
Airotronics,,,X,,,,,,1,
Airpax,,,,,X,,,,1,
Aishi,,,,X,,,,X,2,
AiT Semiconductor,,X,,,,,,,1,
Aker,,,,X,X,,,,2,
Akro-Mils,,,X,,,,,,1,
Alchemy Power,,,X,,,,,,1,
"Alden, an Amphenol co.",X,,,,,,,,1,
"All Sensors, an Amphenol co.",X,,,,,,,,1,
Allegro Microsystems,,,,X,X,,,,2,
Allen,,,X,,,,,,1,
Alliance,,,,,,X,,,1,
Alliance Memory,X,X,X,X,X,,,,5,
Allied Vision,,,,,,X,,,1,
Alpha Wire,,,X,X,X,,,,3,
ALPS,,X,,,,,,,1,
Alps Alpine,X,,,X,X,,,X,4,
AltaSens,,X,,,,,,,1,
Altech,,,X,,,,,,1,
Althon,X,,,,,,,,1,
Altium,,,X,X,X,,,,3,
AM-Touch,X,,,,,,,,1,
Ambersil,,,,X,X,,,,2,
AMCC,,X,,,,,,,1,
AMD,X,X,X,X,X,X,X,X,8,AMD Xilinx
American Beauty,,,X,,,,,,1,
"American Electronic Components- AEC, Inc",,,X,,,,,,1,
American Industrial Systems (AIS),X,,,,,,,,1,
Ametek,,,,X,X,,,,2,
Ametherm,,,X,X,X,,,,3,
Amic,,,X,,X,,,,2,
Amicus,,,X,,,,,,1,
Amotech,,X,,,,,,,1,
Amperite,,,X,,,,,,1,
Amphenol,X,X,,X,X,,,X,5,
Amphenol Advanced Sensors,,,X,X,,,,,2,
Amphenol Aerospace,,,X,,,,,,1,
Amphenol Alden,,,X,,,,,,1,
Amphenol All Sensors,,,X,,,,,,1,
Amphenol Anytek,,,X,,,,,,1,
Amphenol Audio,,,X,,,,,,1,
Amphenol Cables On Demand,,,X,,,,,,1,
Amphenol Canada,,,X,,,,,,1,
Amphenol Communications Solutions,,,X,,,,,,1,
Amphenol CONEC,,,X,,,,,,1,
Amphenol Connex,,,X,,,,,,1,
Amphenol Fiber Optic,,,X,,,,,,1,
Amphenol i2s,,,X,,,,,,1,
Amphenol Industrial,,,X,,,,,,1,
Amphenol LTW Technologies Co. LTD,,,X,,,,,,1,
Amphenol PCD,,,X,,,,,,1,
Amphenol Piher,,,X,X,,,,,2,Amphenol PIHER
Amphenol RF,,,X,,,,,,1,
Amphenol SGX,,,,X,,,,,1,
Amphenol SGX Sensortech,,,X,,,,,,1,
Amphenol Sine Systems,,,X,,,,,,1,
Amphenol SSI,,,X,,,,,,1,
Amphenol SV Micro,,,X,,,,,,1,
Amphenol Tuchel,,,X,,,,,,1,
Amphenol Wilcoxon,,,X,X,,,,,2,
Ampire,X,,,,,,,X,2,
Ampleon,X,,,,,,,,1,
Amprobe,,,X,,,,,,1,
ams OSRAM,X,X,X,,X,,X,,5,AMS Osram; AMS OSRAM; AMS Osram Group
Analog Devices,,,X,,X,,,,2,Maxim Integrated / Analog Devices
AND Displays,,,X,,,,,,1,
AnDAPT,X,,,,,,,,1,
Anderson Power Products,,,X,X,X,,,,3,
Anpac Semiconductor,,X,,,,,,,1,
Ansmann,,,X,X,X,,,,3,
antenna solutions,,,,X,,,,,1,
Antenova,,,,,,X,,,1,
Antex,,,,X,X,,,,2,
"Anytec, an Amphenol co.",X,,,,,,,,1,
AOC,,,X,,,,,,1,
AOPEN Solutions,X,,,,,,,,1,
AP Memory Technology,,X,,,,,,,1,
Apacer Technology,X,,,,,,,,1,
APC by Schneider Electric,,,X,,,,,,1,
APEM,,,X,X,X,,,,3,"Apem; APEM Components, Inc."
APEX,,,X,,,,,,1,
Apex Material Technology (AMT),X,,,,,,,,1,
API Technologies- Spectrum,,,X,,,,,,1,
APM Hexseal®,,,X,,,,,,1,
Applied Concepts,X,,,,,,,,1,
Applied Research Technologies,,,X,,,,,,1,
Aptiv (Delphi),,,,,,,,X,1,
Araldite,,,,X,X,,,,2,
Aras Power Technologies,X,,,,,,,,1,
Arcoelectric,,,X,,,,,X,2,
Arcolectric / Bulgin,,,,X,X,,,,2,
Arduino,X,,X,X,X,,,,4,ARDUINO
Arduino PRO,,,,,,,X,,1,
ARM,,,X,X,X,,,,3,
Arnouse Digital Devices Corp. (ADDC),X,,,,,,,,1,
Artesyn,,X,,,,,,,1,
Artesyn Embedded Technology,,,X,X,X,,,,3,Artesyn Embedded Technologies
Artisan Controls,,,X,,,,,,1,
Aruba Networks (HP),X,,,,,,,,1,
ASI (Cooler Master),X,,,,,,,,1,
ASRock Industrial,,,,,,,,X,1,
Assmann,,,,,,,,X,1,
ASTEC,,X,,,,,,,1,
Astro Tools,,,X,,,,,,1,
Astrodyne TDI,,,X,,,,,,1,
ASUS,X,,X,,,,,,2,
Asus IoT,,,,,,,,X,1,
AT&T,X,,,,,,,,1,
Atlas Sound,,,X,,,,,,1,
Atrix International,,,X,,,,,,1,
ATTO Technology,X,,,,,,,,1,
AU Optronics (AUO),X,,,,,,,,1,
Audiopipe,,,X,,,,,,1,
AUO,,,,,,,,X,1,
Autodesk,,,X,X,,,,,2,AUTODESK
Autonics,,,X,,,,,,1,
AV Displays,,,,,,,,X,1,
Avalue Technology Inc.,,,,,,,,X,1,
Aven,,,X,,,,,,1,
Avnet,,,X,X,X,,,,3,AVNET
Avnet Embedded,,,,,,,,X,1,
Avnet Embedded Platforms Group,X,,,,,,,,1,
Axiom,,,X,,,,,,1,
Axiomtek,X,,,,,,,,1,
AZ Displays,X,,,,,,,,1,
AzureWave Technologies,X,X,,,,X,X,,4,Azurewave; AzureWave; Azurewave Technologies
B&K Precision,,,X,X,X,,,,3,B&K Precision Corporation
B&W,,,X,,,,,,1,
Balluff,,,,,X,,,,1,
Banner Engineering,,,X,X,X,,,,3,
Barco,X,,,,,,,,1,
Barrot technology,,X,,,,,,,1,
Batron,,,X,,,,,,1,
Bbc Micro:bit,,,X,X,X,,,,3,BBC MICRO:BIT; BBC Micro:bit
BCM Advanced Research,X,X,,,,,,,2,Bcm Advanced Research
BDE Technology,,X,,,,,,,1,
Beacon EmbeddedWorks (Logic PD),X,,,,,,,,1,
Beagleboard,,,X,X,X,,,,3,BEAGLEBOARD
BeagleBoard.org,X,,,,,,,,1,
Beau Tech,,,X,,,,,,1,
Beehive Electronics,,,X,,,,,,1,
Beha-Amprobe,,,,,X,,,,1,
Bel Fuse,X,X,X,X,X,,,X,6,Bel; Bel fuse; BEL Group
Bel Power Solutions,X,,,X,,,,X,3,Bel Power
Belden,,,X,X,X,,,,3,
Belkin,,,X,,,,,,1,
Belling Lee,,,,X,X,,,,2,
Bender+Wirth,,,,,,X,,,1,
Bergquist,,,,X,X,,,,2,
Bernstein,,,,X,X,,,,2,
BETA,,,,X,,,,,1,
Betatherm,,,,X,X,,,,2,
Bevco,,,X,,,,,,1,
BI Technologies/ TT Electronics,,,X,,,,,,1,
Bicc General Cable,,,X,,,,,,1,
Binder,,,,,X,,,,1,
Birtcher,,,X,,,,,,1,
Bisonic,,,,X,X,,,,2,
Bitscope,,,X,X,X,,,,3,BITSCOPE
Bivar,,,X,,,,,,1,
Bizlink,X,,,,,,,,1,
Black & Decker,,,X,,,,,,1,
Black Box Corporation,X,,X,,,,,,2,Black Box
Bliley Technologies,X,,,X,X,,,,3,
Block,,,,X,X,,,,2,
"Block Usa, Inc.",,,X,,,,,,1,
Blockmaster,,,X,,,,,,1,
Blonder Tongue,,,X,,,,,,1,
Bob Smith Industries,,,X,,,,,,1,
BOE,X,,,,,,,X,2,
Bofa,,,,X,X,,,,2,
"Bogen® Communications, Inc.",,,X,,,,,,1,
Bolymin,,X,,,,,,,1,
Bomar / Winchester Interconnect,,,X,,,,,,1,
Bomar Interconnect,,,,X,X,,,,2,
Bondhus,,,X,,,,,,1,
Bonkote,,,,X,X,,,,2,
Bopla,,,X,X,X,,,,3,
Boundary Devices,X,,,,,,,,1,
Bourns,X,X,X,X,X,,,X,6,Bourns Inc.
Box Enclosures,,,X,X,X,,,,3,
BoXZY,,,X,,,,,,1,
Boyd,,,,,,,,X,1,
Boyd/Aavid,X,,,,,,,,1,
Brad Harrison - A Molex Company,,,X,,,,,,1,
Brady,,,,X,X,,,,2,
Brady Worldwide,,,X,,,,,,1,
Brainboxes,,,X,X,X,,,,3,
Brand Rex,,,,X,X,,,,2,
Brennenstuhl,,,,X,X,,,,2,
Bridgelux,,X,X,X,X,,X,,5,
Bridgetek,,,X,X,X,,,,3,
Brighton Music,,,X,,,,,,1,
Broadcom,X,,X,X,X,,X,,5,Broadcom Limited
Broyce Control,,,,X,X,,,,2,
Bud Industries,,,X,X,X,,,,3,
Bugera,,,X,,,,,,1,
Bulgin,,,X,X,X,,,X,4,Bulgin Ltd
BUSSMAN,,X,,,,,,,1,
BYD Energy Technology,,X,,,,,,,1,
Byte Brothers,,,X,,,,,,1,
C&K,,,X,X,X,,,,3,C&K Components
Cable Technology Corp,,X,,,,,,,1,
"Cables on Demand, an Amphenol co.",X,,,,,,,,1,
"Caddock Electronics, Inc.",,,X,,,,,,1,
Cadsoft,,,X,X,,,,,2,
"CAIG Laboratories, Inc.",,,X,,,,,,1,
Cal Test Electronics,,,X,,X,,,,2,
Calex Electronics Limited,,,X,,,,,,1,
Califia Lighting,,,X,,,,,,1,
Calmark,,,X,,,,,,1,
Cambion,,,X,X,X,,,,3,
CamdenBoss,,,X,X,X,,,,3,
Canonical,X,,,,,,,,1,
Capcom,,,X,,,,,,1,
Capital Advanced Technologies Inc.,,,X,,,,,,1,
Carclo Optics,,,,X,,,,,1,
Carling Technologies,,,X,,,,,,1,
Carlo Gavazzi,,,X,X,X,,,,3,Carlo Gavazzi Inc.
Carol Cable,,,X,,,,,,1,
Cartel Industries,X,,,,,,,,1,
CCS (Custom Computer Services),,,X,,,,,,1,
CDI Torque Products,,,X,,,,,,1,
CE Labs,,,X,,,,,,1,
CEC Industries Inc.,,,X,,,,,,1,
Ceenorm,,,,X,X,,,,2,
CEL,X,,,,,,,,1,
Celduc,,,,X,X,,,,2,
Central Semiconductor,X,X,,,,,,,2,Central Semi
Ch Products,,,,,X,,,,1,
Channel Master,,,X,,,,,,1,
Chauvin Arnoux,,,,X,X,,,,2,
Chelsio Communications,X,,,,,,,,1,
Chemtronics,,,X,X,X,,,,3,
Chenbro,X,,,,,,,,1,
Chengdu Vantron Technology,X,,,,,,,,1,
Cherry,,,X,,,,,,1,
Cherry Americas,X,,,,,,,,1,
Chicago Miniature Lighting,,,X,,,,,,1,
Chilisin,,X,,,,,,,1,
Chip Quik,,,X,X,X,,,,3,
Chomerics,,,,X,X,,,,2,
CHT,,,,X,X,,,,2,
CIF,,,,X,X,,,,2,
Cinch,,,,X,X,,,,2,
Cinch Connectivity,,,X,,,,,X,2,Cinch Connectivity Solutions
Circuit Assembly,,,X,,,,,,1,
Cirrus Logic,X,X,,,,X,,,3,
Cisco Systems,,,X,,,,,,1,
Citizen,,X,X,,,,,,2,
Citizen Fine Device,,X,,,,,,,1,
Citizen Finedevice,,,,,X,,,,1,
Citizen Finetech Miyota,,,,X,,,,,1,
CK Tools,,,X,X,X,,,,3,CK TOOLS
Clare,,,X,,,,,,1,
Clever Little Box,,,,X,X,,,,2,
Cliff Electronic Components,,,X,X,X,,,,3,CLIFF Electronic
CML,,,,X,X,,,,2,
CML Innovative Technologies,,,X,X,X,,,,3,
Coherent,X,,,,,,,,1,
Coilcraft,,,,X,X,X,,,3,
Coleman Cable Inc.,,,X,,,,,,1,
Comus (Assemtech),,,X,X,X,,,,3,Comus International
Concept,,X,,,,,,,1,
ConductRF,,,X,,,,,,1,
Conec,,,,,,,,X,1,
Conesys,X,,,,,,,,1,
Conexant,,X,,,,,,,1,
congatec,X,,,,,,,,1,
Conitec Datasystems,,,X,,,,,,1,
Conser,,X,,,,,,,1,
Consolidated Electronic Wire & Cable,,,X,,,,,,1,
Control Concepts,,,X,,,,,,1,
Control Techniques (NIDEC),,,,X,X,,,,2,
Conxall,,,X,,,,,,1,
Cooler Master,,,X,,,,,,1,
Cooliance,,,X,,,,,,1,
Cooljag,X,,,,,,,,1,
Cooper Bussmann,,X,,,,,,,1,
Cooper Interconnect,,,X,,,,,,1,
CorDEX Instruments,,,X,,,,,,1,
CORERIVER,,X,,,,,,,1,
Cornell Dubilier,,,X,X,X,,,,3,
Cornell Dubilier/ Illinois Capacitor,,,X,,,,,,1,
Cosel,,,,X,,,,,1,
Coto Technology,,,X,X,X,,,,3,
Cradlepoint,X,,,,,,,,1,
Craftbot,,,X,,,,,,1,
Cramer Company,,,X,,,,,,1,
Creality 3D,,,X,,,,,,1,
Cree LED,X,X,X,X,X,X,,,6,CREE; Cree
Crescent,,,X,,,,,,1,
Crompton Instruments,,,X,,,,,,1,
Crouzet,,,,X,X,,,,2,
Crouzet Automation,,,X,X,,,,,2,CROUZET AUTOMATION
Crouzet Controls,,,X,,,,,,1,
Crouzet Motors,,,X,,,,,,1,
Crouzet Switches,,,X,,,,,,1,
CRU,X,,,,,,,,1,
Crucial TEC,,X,,,,,,,1,
Crystalfontz America,X,,,,,,,,1,
"CSB Battery Technologies, Inc.",,,X,,,,,,1,
CSPi,X,,,,,,,,1,
