Ref,RefType,Kind,Title,URL
AES-MAAXB-8ULP-SK-G,board,buy,Buy AES-MAAXB-8ULP-SK-G on Avnet,https://www.avnet.com/shop/us/products/avnet-engineering-services/aes-maaxb-8ulp-sk-g-3074457345648110677
AES-MAAXB-8ULP-SK-G,board,developer,Compilation Guide,https://github.com/avnet-iotconnect/iotc-yocto-python-sdk/blob/hardknott/board_specific_readmes/maaxboard.md
AES-MAAXB-OSM93-DK-G,board,buy,Buy AES-MAAXB-OSM93-DK-G on Avnet,https://www.avnet.com/shop/us/products/avnet-engineering-services/aes-maaxb-osm93-dk-g-3074457345658404668/
AES-MAAXB-OSM93-DK-G,board,quickstart,QuickStart Guide,https://github.com/Avnet/MaaXBoard-OSM93-HUB
AES-MAAXB-OSM93-DK-G,board,quickstart,QuickStart Guide with /IOTCONNECT,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/tria-maaxboard-osm93
AES-MAAXB-OSM93-DK-G,board,doc,GitHub Repository Root,https://github.com/Avnet/MaaXBoard-OSM93-HUB
AES-MC-SBC-IMX8M-G,board,buy,Buy AES-MC-SBC-IMX8M-G on Avnet,https://www.avnet.com/shop/us/products/avnet-engineering-services/aes-mc-sbc-imx8m-g-3074457345642080716
AES-MC-SBC-IMX8M-G,board,developer,Compilation Guide,https://github.com/avnet-iotconnect/iotc-yocto-python-sdk/blob/hardknott/board_specific_readmes/maaxboard.md
AES-MC-SBC-IMX8M-G,board,demo,Demo Guide: Track Voyager,https://github.com/avnet-iotconnect/avnet-iotconnect.github.io/blob/main/documentation/iotc-yocto-c-sdk/voyager-demo/MaaxBoard-IoTC-Voyager-Demo.md
AES-MC-SBC-IMX8M-G,board,demo,MaaXBoard Voyager Demo - Dynamic Dashboard Template (JSON),https://github.com/avnet-iotconnect/avnet-iotconnect.github.io/blob/main/documentation/iotc-yocto-c-sdk/voyager-demo/templates/dashboard/MaaXBoard%20Voyager%20Demo_dashboard_export.json
AES-MC-SBC-IMX8M-G,board,doc,MaaXBoard Voyager Demo - Voyager Sensors Device Template (JSON),https://github.com/avnet-iotconnect/avnet-iotconnect.github.io/blob/main/documentation/iotc-yocto-c-sdk/voyager-demo/templates/device/Voyager%20Sensors_template.JSON
AES-MC-SBC-IMX8MINI-G,board,buy,Buy AES-MC-SBC-IMX8MINI-G on Avnet,https://www.avnet.com/shop/us/products/avnet-engineering-services/aes-mc-sbc-imx8mini-g-3074457345643866383
AES-MC-SBC-IMX8MINI-G,board,developer,Compilation Guide,https://github.com/avnet-iotconnect/iotc-yocto-python-sdk/blob/hardknott/board_specific_readmes/maaxboard.md
AES-MC-SBC-IMX8MINI-G,board,video,Video: Chip to Cloud EV Charging Solution,https://bcove.video/3A04q5f
AES-MC-SBC-IMXRT1176-G,board,quickstart,QuickStart Guide,https://github.com/avnet-iotconnect/iotc-azurertos-sdk/blob/main/samples/maaxboardrt/QUICKSTART.md
AES-MC-SBC-IMXRT1176-G,board,doc,GitHub Repository Root,https://github.com/avnet-iotconnect/iotc-azurertos-sdk/tree/main/samples/maaxboardrt
AES-RASYNB-120,board,buy,Buy AES-RASYNB-120 on Avnet,https://www.avnet.com/wps/portal/us/products/avnet-boards/avnet-board-families/rasynboard
AES-RASYNB-120,board,quickstart,QuickStart Guide,https://github.com/Avnet/RASynBoard-Out-of-Box-Demo/blob/rasynboard_v2_tiny/docs/IoTConnect.md
AES-RASYNB-120,board,demo,RASynPuck Demo,https://github.com/Avnet/RASynBoard-Out-of-Box-Demo/blob/rasynboard_v2_tiny/docs/RASynPuckDemo.md
AES-RASYNB-120,board,webinar,Webinar: Industrial AI Acoustic & Vibration Monitoring,https://edgeimpulse.com/events/unlock-the-future-of-industrial-ai-with-advanced-acoustic-and-vibration-monitoring
AES-RASYNB-120,board,video,Video: RASynBoard Pump Demo - Tria,https://players.brightcove.net/4598493563001/BkZJhSKu_default/index.html?videoId=6364919658112
AES-RASYNB-120,board,video,Video: Motion Recognition,https://hackster.imgix.net/uploads/attachments/1738627/untitled_project_NiH4p1V6jK.gif?auto=format%2Ccompress&gifq=35&w=900&h=675&fit=min&fm=mp4
AES-RASYNB-120,board,blog,Blog: The RASynPuck Demo - Hackster.io,https://www.hackster.io/bwilless/the-rasynpuck-demo-what-can-you-build-with-the-rasynboard-bfd912
AES-RZB-V2L-SK-G,board,buy,Buy AES-RZB-V2L-SK-G on Avnet,https://www.avnet.com/wps/portal/us/products/avnet-boards/avnet-board-families/rzboard-v2l
AES-RZB-V2L-SK-G,board,quickstart,QuickStart Guide,https://github.com/avnet-iotconnect/meta-iotconnect-docs/blob/main/QuickStart/RZBoardV2L.md
AES-RZB-V2L-SK-G,board,developer,Developer Guide,https://github.com/avnet-iotconnect/meta-iotconnect-docs/blob/main/Build/RZBoardV2L/README.md
AES-RZB-V2L-SK-G,board,webinar,Webinar: Vision AI with Renesas RZ/V MPUs,https://players.brightcove.net/4598493563001/BkZJhSKu_default/index.html?videoId=6365806777112
AES-RZB-V2L-SK-G,board,video,Video: EdgeAI Apps featuring Tria Dev Boards,https://players.brightcove.net/4598493563001/BkZJhSKu_default/index.html?videoId=6364403224112
AES-RZB-V2L-SK-G,board,video,Video: VisionAI Use Case with RZBoard V2L,https://players.brightcove.net/4598493563001/BkZJhSKu_default/index.html?videoId=6364403327112
AES-RZB-V2L-SK-G,board,video,Video: Smart Parking Demo,https://hackster.imgix.net/uploads/attachments/1721314/spark_iotc_launch.gif?auto=compress&gifq=35&w=740&h=555&fit=max&fm=mp4
AES-RZB-V2L-SK-G,board,video,Video: RZBuddy,https://youtu.be/mSETqaqMejQ
AES-RZB-V2L-SK-G,board,blog,Blog: Smart Parking AI on RZBoard V2L - Hackster.io,https://www.hackster.io/lucas-keller/smart-parking-ai-with-telemetry-on-rzboard-v2l-fd3eb9
AES-RZB-V2L-SK-G,board,blog,Blog: Preview - RZbuddy Smart Pet Companion - Hackster.io,https://www.hackster.io/lucas-keller/preview-rzbuddy-the-smart-pet-companion-for-anxiety-c50c87
ATSAMA5D27-SOM1-EK1,board,buy,Buy SAMA5D27 on Newark,https://www.newark.com/microchip/atsama5d27-som1-ek1/eval-board-32bit-mpu-arm-cortex/dp/44AC2213
ATSAMA5D27-SOM1-EK1,board,quickstart,SAMA5D27 QuickStart Guide,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/microchip-sama5d27
